epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
60,52.8957,0.58644,0.97175,0.97041,0.8085,0.23077,0.40198,0.26616,1.80948,2.74561,1.87286,0.00040905,0.00040905,0.00040905
61,53.6747,0.99134,1.13481,1.2822,0.8085,0.23077,0.40198,0.26616,1.80948,2.74561,1.87286,0.000406081,0.000406081,0.000406081
62,54.4171,0.86344,0.9909,1.12497,0.8085,0.23077,0.40198,0.26616,1.80948,2.74561,1.87286,0.000402782,0.000402782,0.000402782
63,55.1778,1.02208,1.25498,1.25589,0.78449,0.30769,0.40507,0.29988,1.74726,2.69978,1.80108,0.000399153,0.000399153,0.000399153
64,55.9147,0.83481,0.95294,1.06399,0.78449,0.30769,0.40507,0.29988,1.74726,2.69978,1.80108,0.000395194,0.000395194,0.000395194
65,56.6806,0.739,0.8762,1.0281,0.78449,0.30769,0.40507,0.29988,1.74726,2.69978,1.80108,0.000390905,0.000390905,0.000390905
66,57.4302,0.82789,0.94922,1.03812,0.80429,0.30769,0.45349,0.27727,1.79275,2.67864,1.82087,0.000386286,0.000386286,0.000386286
67,58.1605,0.79745,0.89309,1.06837,0.80429,0.30769,0.45349,0.27727,1.79275,2.67864,1.82087,0.000381336,0.000381336,0.000381336
68,58.9814,0.78715,1.0216,1.0587,0.80429,0.30769,0.45349,0.27727,1.79275,2.67864,1.82087,0.000376057,0.000376057,0.000376057
69,59.7785,0.67154,0.86985,1.00492,1,0.3568,0.48764,0.29658,1.77385,2.65841,1.87464,0.000370447,0.000370447,0.000370447
70,60.5313,0.84652,1.01838,1.05893,1,0.3568,0.48764,0.29658,1.77385,2.65841,1.87464,0.000364508,0.000364508,0.000364508
71,61.2727,0.78722,0.94034,1.0745,1,0.3568,0.48764,0.29658,1.77385,2.65841,1.87464,0.000358238,0.000358238,0.000358238
72,62.0171,0.68782,0.87782,0.98335,0.83283,0.38345,0.44174,0.30791,1.78682,2.65759,1.9161,0.000351639,0.000351639,0.000351639
73,62.7885,0.89739,1.01554,1.19661,0.83283,0.38345,0.44174,0.30791,1.78682,2.65759,1.9161,0.000344709,0.000344709,0.000344709
74,63.5508,0.86607,0.91552,1.16625,0.83283,0.38345,0.44174,0.30791,1.78682,2.65759,1.9161,0.000337449,0.000337449,0.000337449
75,64.3563,0.72269,0.89771,1.05545,0.67321,0.38462,0.44162,0.32592,1.66005,2.60945,1.91037,0.000329859,0.000329859,0.000329859
76,65.1644,0.58723,0.76812,0.97577,0.67321,0.38462,0.44162,0.32592,1.66005,2.60945,1.91037,0.000321939,0.000321939,0.000321939
77,65.9118,0.76933,0.82563,0.98831,0.67321,0.38462,0.44162,0.32592,1.66005,2.60945,1.91037,0.000313689,0.000313689,0.000313689
78,66.6935,0.85838,0.91026,1.08827,0.66439,0.38462,0.40378,0.29278,1.68977,2.60331,1.92282,0.000305109,0.000305109,0.000305109
79,67.4666,0.77329,0.98085,1.07814,0.66439,0.38462,0.40378,0.29278,1.68977,2.60331,1.92282,0.000296199,0.000296199,0.000296199
80,68.1975,0.69513,0.89557,1.12447,0.66439,0.38462,0.40378,0.29278,1.68977,2.60331,1.92282,0.000286959,0.000286959,0.000286959
81,68.9674,0.90919,0.96632,1.21977,0.75766,0.38462,0.4307,0.31216,1.70515,2.5686,1.90968,0.000277389,0.000277389,0.000277389
82,69.7598,0.58876,0.72813,0.9763,0.75766,0.38462,0.4307,0.31216,1.70515,2.5686,1.90968,0.000267488,0.000267488,0.000267488
83,70.5348,0.84878,0.92778,1.15334,0.75766,0.38462,0.4307,0.31216,1.70515,2.5686,1.90968,0.000257258,0.000257258,0.000257258
84,71.3908,0.6557,0.84142,1.03756,0.64669,0.42466,0.45135,0.31908,1.72433,2.54838,1.90003,0.000246698,0.000246698,0.000246698
85,72.4869,0.60768,0.71834,1.00864,0.64669,0.42466,0.45135,0.31908,1.72433,2.54838,1.90003,0.000235807,0.000235807,0.000235807
86,73.3759,0.66297,0.7787,1.05422,0.64669,0.42466,0.45135,0.31908,1.72433,2.54838,1.90003,0.000224587,0.000224587,0.000224587
87,74.3006,0.59845,0.83196,0.97792,0.64669,0.42466,0.45135,0.31908,1.72433,2.54838,1.90003,0.000213036,0.000213036,0.000213036
88,75.2008,0.83731,0.81091,1.19183,0.66112,0.46154,0.45185,0.31137,1.52728,2.61263,1.73216,0.000201155,0.000201155,0.000201155
89,75.9681,0.80951,0.80196,1.13126,0.66112,0.46154,0.45185,0.31137,1.52728,2.61263,1.73216,0.000188944,0.000188944,0.000188944
90,76.7978,0.70181,0.86306,1.07702,0.66112,0.46154,0.45185,0.31137,1.52728,2.61263,1.73216,0.000176404,0.000176404,0.000176404
91,77.6075,0.67041,0.85012,0.97739,0.66112,0.46154,0.45185,0.31137,1.52728,2.61263,1.73216,0.000163533,0.000163533,0.000163533
92,78.5032,0.44849,0.84514,0.8449,0.6686,0.46154,0.43385,0.3198,1.46306,2.62768,1.67431,0.000150332,0.000150332,0.000150332
93,79.4238,0.48223,0.79149,0.87003,0.6686,0.46154,0.43385,0.3198,1.46306,2.62768,1.67431,0.000136801,0.000136801,0.000136801
94,80.3839,0.45023,0.70494,0.76768,0.6686,0.46154,0.43385,0.3198,1.46306,2.62768,1.67431,0.00012294,0.00012294,0.00012294
95,81.2597,0.56582,0.9241,0.9007,0.6686,0.46154,0.43385,0.3198,1.46306,2.62768,1.67431,0.000108748,0.000108748,0.000108748
96,82.1194,0.50789,0.83065,0.84587,0.69901,0.46154,0.43155,0.31371,1.45633,2.63287,1.64884,9.42272e-05,9.42272e-05,9.42272e-05
97,82.9325,0.40136,0.76847,0.85244,0.69901,0.46154,0.43155,0.31371,1.45633,2.63287,1.64884,7.93759e-05,7.93759e-05,7.93759e-05
98,83.7384,0.44535,0.75311,0.87406,0.69901,0.46154,0.43155,0.31371,1.45633,2.63287,1.64884,6.41945e-05,6.41945e-05,6.41945e-05
99,84.6075,0.42148,0.80512,0.87172,0.69901,0.46154,0.43155,0.31371,1.45633,2.63287,1.64884,4.86831e-05,4.86831e-05,4.86831e-05
100,85.4438,0.42657,0.73554,0.85169,0.71014,0.46154,0.47372,0.34346,1.38228,2.62169,1.59647,3.28416e-05,3.28416e-05,3.28416e-05
